запрос;тип;частота "!";страница (route);title сейчас;рекомендация title/lede;приоритет
"CRM для медицинских представителей";коммерческий;подтвердить;/marketing/crm;CRM для медицинских представителей · ФармКонсилиум;Оставить ключ в начале title; уточнить в lede «внедрение CRM в Беларуси» после частоты;H
"CLM фарма";коммерческий;подтвердить;/marketing/clm;CLM — ПО для работы МП F2F · ФармКонсилиум;Сократить title до ~60 симв.: «CLM для медпредов · ФармКонсилиум»;H
"внедрение CLM";коммерческий;подтвердить;/marketing/clm;CLM — ПО для работы МП F2F · ФармКонсилиум;Добавить «внедрение» в description (первые 120 симв.);H
"цифровой медпредставитель";коммерческий;подтвердить;/sales/digital-rep;Цифровой медицинский представитель · ФармКонсилиум;Синхрон title с запросом (уже близко);H
"фарм маркетинг";коммерческий;подтвердить;/marketing;Фармацевтический маркетинг · ФармКонсилиум;Рассмотреть «Фарм-маркетинг в Беларуси» в title раздела;M
"цифровая трансформация фармацевтики";коммерческий;подтвердить;/marketing;Фармацевтический маркетинг · ФармКонсилиум;LSI в lede раздела marketing + home; не путать с трансформацией больниц;H
"обучение медицинских представителей";коммерческий;подтвердить;/marketing/ai;Тренинги для медицинских представителей · ФармКонсилиум;Ключ уже в H1/title — проверить description ≤160 для сниппета;M
"справочник лекарственных средств";коммерческий;подтвердить;/directory;Справочник лекарственных средств · ФармКонсилиум;Ок; при низкой частоте — усилить «для врачей Беларуси» в description;M
"ФармКонсилиум";имидж;подтвердить;/;ФармКонсилиум · IT-решения для фарм-маркетинга в Беларуси;Бренд в title главной — ок;H
"медицинские IT решения в Беларуси";коммерческий;подтвердить;/;ФармКонсилиум · IT-решения для фарм-маркетинга в Беларуси;Усилить «Беларусь» в description главной;H
"IT решения для здравоохранения";коммерческий;подтвердить;/hcp;Здравоохранение · ФармКонсилиум;В lede hcp: уточнить фокус HCP/фарм-бренды, не МИС больниц;M
"цифровые технологии в здравоохранении";информационный;подтвердить;/hcp;Здравоохранение · ФармКонсилиум;LSI в lede раздела hcp;M
"внедрение цифровых технологий в медицине";коммерческий;подтвердить;/hcp;Здравоохранение · ФармКонсилиум;LSI в lede; при частоте H — подстраница hcp/ai-healthcare;M
"омниканальные коммуникации врачи";коммерческий;подтвердить;/sales/omnichannel;Цифровой медицинский представитель в гибридном продвижении · ФармКонсилиум;Укоротить title; в description — «омниканал» в первых 120 симв.;M
"цифровые двойники в фармацевтике";коммерческий;подтвердить;/sales/omnichannel;Цифровой медицинский представитель в гибридном продвижении · ФармКонсилиум;Уже есть в lede omnichannel — проверить точное вхождение;M
"eDetailing";коммерческий;подтвердить;/content/edetailing;CLM и eDetailing · ФармКонсилиум;Добавить «eDetailing» в начало title;H
"едетейлинг";коммерческий;подтвердить;/content/edetailing;CLM и eDetailing · ФармКонсилиум;Дубль с eDetailing — один URL;M
"разработка сайта фармацевтическая компания";коммерческий;подтвердить;/marketing/web;Веб-разработка: сайты, лендинги… · ФармКонсилиум;Сильно длинный title — сократить до «Сайты для фармкомпаний · ФармКонсилиум»;M
"разработка ПО для здравоохранения";коммерческий;подтвердить;/marketing/web;Веб-разработка: сайты, лендинги… · ФармКонсилиум;Уточнить в lede: HCP-порталы и промо, не МИС;M
"медицинский портал для врачей";коммерческий;подтвердить;/marketing/web;Веб-разработка: сайты, лендинги… · ФармКонсилиум;«HCP-портал» в title/description web;M
"чат-бот для врачей";коммерческий;подтвердить;/marketing/chatbot;Чат-бот и ТелеАпп · ФармКонсилиум;Укоротить title; ключ в description;M
"искусственный интеллект в здравоохранении";коммерческий;подтвердить;/hcp/chatbot;Чат-боты и ИИ-ассистенты для медицины · ФармКонсилиум;Ключ в description; связка с chatbot + hcp/ai-healthcare;H
"мобильное приложение для врача";коммерческий;подтвердить;/marketing/mobile;Разработка мобильных приложений · ФармКонсилиум;«для врачей и HCP» в первых 120 симв. description;H
"лонч препарата";коммерческий;подтвердить;/sales/launch;Лонч - аутсорсинг · ФармКонсилиум;«Лонч препарата в Беларуси» в description;M
"2CLM";информационный;подтвердить;/marketing/2clm;2CLM — ПО для увеличения эффективности визитов SF · ФармКонсилиум;Сократить title;M
"программа поддержки пациентов";коммерческий;подтвердить;/hcp/education;Программы поддержки пациентов · ФармКонсилиум;Основной URL PSP (route hcp/education); не путать с /hcp/psp (RWE);M
"программы поддержки пациентов";коммерческий;подтвердить;/content/psp;Программы поддержки пациентов · контент · ФармКонсилиум;Доп. URL — контентный раздел;L
"медицинский представитель аутсорсинг";коммерческий;подтвердить;/sales/digital-rep;Цифровой медицинский представитель · ФармКонсилиум;LSI в lede digital-rep;L
"IT-консалтинг для фармбизнеса";коммерческий;подтвердить;/team;Команда и контакты · ФармКонсилиум;LSI в lede team / блок «о команде»;M
"аутсорсинг IT в медицине";коммерческий;подтвердить;/sales;Аутсорсинг · ФармКонсилиум;В lede sales: цифровой медпред и промо, не внедрение МИС;L
"фармацевтический софт Беларусь";коммерческий;подтвердить;/marketing;Фармацевтический маркетинг · ФармКонсилиум;LSI «софт для фарм-маркетинга» в description раздела;M
"медицинские презентации для медпредставителя";коммерческий;подтвердить;/content/medical;CLM-презентации, детейлеры · ФармКонсилиум;Синоним к content/medical;M
"видеовизит для врачей";коммерческий;подтвердить;/content/video;Видео HCP · ФармКонсилиум;Уже близко к H1;M
"образовательная платформа для врачей";коммерческий;подтвердить;/hcp/ai-recom;Цифровые платформы для образовательных медицинских программ · ФармКонсилиум;Основной URL;M
"геймификация для врачей";коммерческий;подтвердить;/content/gamification;Игры, квизы и клинические детективы · ФармКонсилиум;Ок;M
"медицинское ПО";информационный;подтвердить;/marketing;Фармацевтический маркетинг · ФармКонсилиум;Только LSI — слишком широко для одной страницы;L
"цифровая трансформация здравоохранения";информационный;подтвердить;/hcp;Здравоохранение · ФармКонсилиум;Только LSI в lede;L
"внедрение медицинского ПО";коммерческий;подтвердить;/marketing;Фармацевтический маркетинг · ФармКонсилиум;Уточнять «маркетинг и HCP», не МИС;L
"облачные решения для здравоохранения";информационный;подтвердить;/marketing/clm;CLM · ФармКонсилиум;LSI «облачное CLM» в lede clm;L
"телемедицинская платформа для врачей";коммерческий;подтвердить;/hcp/education;—;Только если есть релевантный кейс; иначе LSI;L
"личный кабинет пациента";коммерческий;подтвердить;/hcp/psp;—;LSI в PSP-контенте;L
"медицинский портал для пациентов";коммерческий;подтвердить;/content/patient;Пациентский образовательный контент · ФармКонсилиум;Не путать с HCP-порталом;L
